Timestamp,Soil Moisture,Rain Sensor,Landslide Occurrence
22-01-2026 08:35,1001,1023,0
22-01-2026 08:35,1001,1023,0
22-01-2026 08:35,1001,1023,0
22-01-2026 08:35,1002,1023,0
22-01-2026 08:35,1002,1023,0
22-01-2026 08:35,1002,1023,0
22-01-2026 12:27,0,1023,0
22-01-2026 12:27,1,1022,0
22-01-2026 12:27,2,1023,0
22-01-2026 12:27,3,1022,0
22-01-2026 12:27,2,1023,0
22-01-2026 12:27,1022,1022,0
22-01-2026 12:27,1021,1023,0
22-01-2026 12:28,1004,1023,0
22-01-2026 12:28,360,1023,0
22-01-2026 12:28,287,1023,0
22-01-2026 12:28,275,1022,0
22-01-2026 12:28,301,1022,0
22-01-2026 12:28,309,1023,0
22-01-2026 12:28,340,1022,0
22-01-2026 12:28,294,1022,0
22-01-2026 12:28,354,1023,0
22-01-2026 12:28,309,1023,0
22-01-2026 12:28,278,1023,0
22-01-2026 12:28,282,1022,0
22-01-2026 12:28,275,1023,0
22-01-2026 12:28,280,1023,0
22-01-2026 12:28,287,1022,0
22-01-2026 12:28,299,1022,0
22-01-2026 12:28,282,1022,0
22-01-2026 12:28,284,1023,0
22-01-2026 12:28,282,1023,0
22-01-2026 12:28,283,1023,0
22-01-2026 12:29,356,1023,0
22-01-2026 12:29,282,1023,0
22-01-2026 12:29,283,1023,0
22-01-2026 12:29,281,1022,0
22-01-2026 12:29,280,1023,0
22-01-2026 12:29,280,1023,0
22-01-2026 12:29,280,1023,0
22-01-2026 12:29,281,1022,0
22-01-2026 12:29,281,1022,0
22-01-2026 12:29,281,1023,0
22-01-2026 12:29,281,1023,0
22-01-2026 12:31,0,374,0
22-01-2026 12:31,0,374,0
22-01-2026 12:31,0,372,0
22-01-2026 12:31,0,335,0
22-01-2026 12:31,0,318,0
22-01-2026 12:31,958,316,0
22-01-2026 12:31,258,315,0
22-01-2026 12:31,272,314,0
22-01-2026 12:31,270,314,0
22-01-2026 12:33,295,305,0
22-01-2026 12:33,298,307,0
22-01-2026 12:33,297,298,1
22-01-2026 12:33,300,315,0
22-01-2026 12:33,299,294,1
22-01-2026 12:33,301,288,1
22-01-2026 12:33,302,311,0
22-01-2026 12:33,304,235,1
22-01-2026 12:33,305,385,0
22-01-2026 12:33,307,337,0
22-01-2026 12:33,308,440,0
22-01-2026 12:33,309,446,0
22-01-2026 12:33,309,240,1
22-01-2026 12:33,309,285,1
22-01-2026 12:33,310,307,0
22-01-2026 12:33,310,294,1
22-01-2026 12:33,309,266,1
22-01-2026 12:33,310,306,0
22-01-2026 12:33,311,259,1
22-01-2026 12:34,313,285,1
22-01-2026 12:34,314,320,0
22-01-2026 12:34,313,299,1
22-01-2026 12:34,314,278,1
22-01-2026 12:34,315,261,1
22-01-2026 12:34,314,297,1
22-01-2026 12:34,315,317,0
22-01-2026 12:34,313,235,1
22-01-2026 12:34,314,275,1
22-01-2026 12:34,316,247,1
22-01-2026 12:34,312,268,1
22-01-2026 12:34,314,248,1
22-01-2026 12:34,315,245,1
22-01-2026 12:34,313,278,1
22-01-2026 12:34,315,291,1
22-01-2026 12:34,315,278,1
22-01-2026 12:34,317,269,1
22-01-2026 12:34,319,255,1
22-01-2026 12:34,318,316,0
22-01-2026 12:34,320,273,1
22-01-2026 12:35,320,294,1
22-01-2026 12:35,320,303,0
22-01-2026 12:35,457,285,1
22-01-2026 12:35,1002,288,0
22-01-2026 12:35,269,287,1
22-01-2026 12:35,262,282,1
22-01-2026 12:35,262,277,1
22-01-2026 12:35,270,266,1
22-01-2026 12:35,299,269,1
22-01-2026 12:35,313,271,1
22-01-2026 12:35,320,270,1
22-01-2026 12:35,322,269,1
22-01-2026 12:35,324,271,1
22-01-2026 12:35,325,270,1
22-01-2026 12:35,326,299,1
22-01-2026 12:35,326,272,1
22-01-2026 12:35,327,272,1
22-01-2026 12:35,327,268,1
22-01-2026 12:35,327,317,0
22-01-2026 12:35,327,282,1
22-01-2026 12:36,328,310,0
22-01-2026 12:36,329,243,1
22-01-2026 12:36,328,242,1
22-01-2026 12:36,328,263,1
22-01-2026 12:36,329,248,1
22-01-2026 12:36,330,266,1
22-01-2026 12:36,329,296,1
22-01-2026 12:36,329,283,1
22-01-2026 12:37,999,860,0
22-01-2026 12:37,992,854,0
22-01-2026 12:37,987,854,0
22-01-2026 12:37,992,962,0
22-01-2026 12:37,992,845,0
22-01-2026 12:37,991,698,0
22-01-2026 12:37,993,718,0
22-01-2026 12:37,994,689,0
22-01-2026 12:37,989,653,0
22-01-2026 12:37,994,650,0
22-01-2026 12:37,952,657,0
22-01-2026 12:38,236,647,0
22-01-2026 12:38,252,547,0
22-01-2026 12:38,258,641,0
22-01-2026 12:38,263,485,0
22-01-2026 12:38,269,382,0
22-01-2026 12:38,277,336,0
22-01-2026 12:38,291,260,1
22-01-2026 12:38,306,274,1
22-01-2026 12:38,316,279,1
22-01-2026 12:38,324,285,1
22-01-2026 12:38,329,291,1
22-01-2026 12:38,331,289,1
22-01-2026 12:38,332,288,1
22-01-2026 12:38,333,289,1
22-01-2026 12:38,334,289,1
22-01-2026 12:38,334,288,1
22-01-2026 12:38,334,287,1
22-01-2026 12:38,334,287,1
22-01-2026 12:38,334,287,1
22-01-2026 12:38,334,287,1
22-01-2026 12:38,333,286,1
22-01-2026 12:39,334,288,1
22-01-2026 12:39,334,290,1
22-01-2026 12:39,333,294,1
22-01-2026 12:39,334,299,1
22-01-2026 12:39,334,295,1
22-01-2026 12:39,333,302,0
22-01-2026 12:39,333,308,0
22-01-2026 12:39,332,301,0
22-01-2026 12:39,333,308,0
22-01-2026 12:39,333,309,0
22-01-2026 12:39,333,308,0
22-01-2026 12:39,333,309,0
22-01-2026 12:39,332,308,0
22-01-2026 12:39,330,270,1
22-01-2026 12:39,330,227,1
22-01-2026 12:39,326,206,1
22-01-2026 12:39,327,191,1
22-01-2026 12:39,327,196,1
22-01-2026 12:39,329,202,1
22-01-2026 12:39,330,209,1
22-01-2026 12:40,331,217,1
22-01-2026 12:40,332,223,1
22-01-2026 12:40,333,230,1
22-01-2026 12:40,333,236,1
22-01-2026 12:40,333,242,1
22-01-2026 12:40,333,247,1
22-01-2026 12:40,334,250,1
22-01-2026 12:40,334,241,1
